iShares Russell 2000 ETF
Fund Holdings as of,"Apr 10, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"280,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GBCI","GLACIER BANCORP INC","Financials","Equity","145,793,422.67","0.20","145,793,422.67","3,029,159.00","48.13","United States","NYSE","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","145,422,891.52","0.20","145,422,891.52","3,317,128.00","43.84","United States","NASDAQ","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","144,850,197.75","0.20","144,850,197.75","2,882,591.00","50.25","United States","NYSE","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","143,928,404.70","0.20","143,928,404.70","2,680,231.00","53.70","United States","NYSE","USD","1.00","USD","-"
"VAL","VALARIS LTD","Energy","Equity","143,894,698.38","0.20","143,894,698.38","1,474,482.00","97.59","United States","NYSE","USD","1.00","USD","-"
"PLXS","PLEXUS CORP","Information Technology","Equity","143,146,909.68","0.20","143,146,909.68","628,996.00","227.58","United States","NASDAQ","USD","1.00","USD","-"
"RIG","TRANSOCEAN LTD","Energy","Equity","143,063,952.48","0.20","143,063,952.48","21,942,324.00","6.52","United States","NYSE","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","140,163,924.12","0.19","140,163,924.12","2,368,434.00","59.18","United States","NYSE","USD","1.00","USD","-"
"NPO","ENPRO INC","Industrials","Equity","138,815,880.84","0.19","138,815,880.84","499,212.00","278.07","United States","NYSE","USD","1.00","USD","-"
"VSEC","VSE CORP","Industrials","Equity","138,504,421.66","0.19","138,504,421.66","635,954.00","217.79","United States","NASDAQ","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","138,217,380.21","0.19","138,217,380.21","3,049,137.00","45.33","United States","NASDAQ","USD","1.00","USD","-"
"WULF","TERAWULF INC","Information Technology","Equity","138,167,158.98","0.19","138,167,158.98","7,322,054.00","18.87","United States","NASDAQ","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","137,716,318.30","0.19","137,716,318.30","1,649,890.00","83.47","United States","NYSE","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","137,001,343.80","0.19","137,001,343.80","8,253,093.00","16.60","United States","NASDAQ","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","136,053,687.68","0.19","136,053,687.68","2,388,583.00","56.96","United States","NYSE","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","135,831,054.60","0.19","135,831,054.60","1,374,530.00","98.82","United States","NASDAQ","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","135,671,048.52","0.19","135,671,048.52","1,794,828.00","75.59","United States","NYSE","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","134,758,724.94","0.18","134,758,724.94","770,358.00","174.93","United States","NASDAQ","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","134,656,446.06","0.18","134,656,446.06","2,002,922.00","67.23","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","134,422,432.43","0.18","134,422,432.43","2,262,623.00","59.41","United States","NYSE","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrials","Equity","133,686,120.96","0.18","133,686,120.96","1,124,736.00","118.86","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","132,961,890.54","0.18","132,961,890.54","2,197,354.00","60.51","United States","NYSE","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","132,393,288.60","0.18","132,393,288.60","1,793,947.00","73.80","United States","NYSE","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","132,112,083.00","0.18","132,112,083.00","5,180,866.00","25.50","United States","NYSE","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","131,375,905.92","0.18","131,375,905.92","1,375,808.00","95.49","United States","NASDAQ","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","131,332,296.06","0.18","131,332,296.06","1,034,194.00","126.99","United States","NYSE","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","130,904,838.54","0.18","130,904,838.54","6,111,337.00","21.42","United States","NYSE","USD","1.00","USD","-"
